Task,Model,Accuracy,Precision,Recall,F1,CV_F1,MAE(g),RMSE(g),R2
Classification,RF,0.9375,0.9166666666666666,1.0,0.9565217391304348,0.961420750894435,,,
Classification,SVM,0.9375,0.9166666666666666,1.0,0.9565217391304348,0.9623604465709729,,,
Classification,DNN,1.0,1.0,1.0,1.0,0.9780076727445148,,,
Regression,RF,,,,,22.526424032311773,16.077024838627047,28.79654613663149,0.8905256442179008
Regression,SVR,,,,,19.192365866658736,21.959281793969232,36.27942632894444,0.8262389559366158
Regression,DNN,,,,,11.765853543884258,8.000759369901534,14.01736583993061,0.9740603321067857
