Model,Task,Accuracy,Precision,Recall,F1,CV,MAE(g),RMSE(g),R²
RF,Classification,0.96875,0.9565217391304348,1.0,0.9777777777777777,0.9656768456768458,,,
SVM,Classification,0.96875,0.9565217391304348,1.0,0.9777777777777777,0.977124183006536,,,
MLP,Classification,0.96875,0.9565217391304348,1.0,0.9777777777777777,0.9774244833068362,,,
RF,Regression,,,,,14.350793437175454,11.647546058099245,19.376860234753792,0.9504323409751281
SVR,Regression,,,,,8.936288604138833,9.97424126936837,16.11186178653194,0.9657292940586454
MLP,Regression,,,,,-7.48217547362457,13.360741642660411,17.92300695593438,0.9575914579885492
