time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_eva_mid[bar],T_eva_mid[degC],P_eva_out[bar],T_eva_out[degC],P_gc_in[bar],T_gc_in[degC],P_gc_out[bar],T_gc_out[degC],W_comp[kW],Q_cool_s1[kW],Q_cool_s2[kW],Q_cool_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_eva_mid[kJ/kg],h_eva_out[kJ/kg],h_gc_in[kJ/kg],h_gc_out[kJ/kg]
0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,9.353127150621901,3.569050083950458,9.0,45.0,3.0,234.9614490656521,234.9614490656521,234.9614490656521,234.9614490656521,234.9614490656521,234.9614490656521
10.000000000000002,34.530992770028284,11.189557517068408,116.85811146489463,115.73498577290286,35.52337510655797,16.26714554633878,36.693197259755195,2.004206886219549,116.79307431118671,40.430247864442656,116.85661106973888,113.89719902992285,1.284424789655909,0.8921968418026706,2.89944521177615,3.791642053578821,2.9520156291864965,0.014565833836714046,35.0,19.12269918005268,16.81250310609397,9.0,45.0,3.0,450.3159792320871,517.1384322717569,455.88571912094255,256.8277562003491,299.691173944981,514.3701963246806
10.00000000000002,34.530992770028284,11.189557517068408,116.85811146489472,115.73498577290246,35.52337510655797,16.26714554633884,36.693197259755195,2.004206886219549,116.79307431118676,40.43024786444431,116.85661106973896,113.89719902992238,1.2844247896559131,0.892196841802673,2.899445211776152,3.791642053578825,2.952015629186489,0.014565833836714046,35.0,19.12269918005268,16.81250310609397,9.0,45.0,3.0,450.3159792320871,517.1384322717571,455.88571912094255,256.82775620034903,299.691173944981,514.3701963246801
20.000000000000004,36.35993494691402,15.635715724147758,130.20718208459627,128.47428551546875,37.3770237574376,17.811188281752436,38.581820686106994,3.93838418906364,130.13801342575167,46.233396459894486,130.20565628459636,128.50350678546437,1.467729215210496,1.0810167518077154,3.125037584978079,4.206054336785795,2.865688229952266,0.014885642760488456,35.0,17.98314360688829,18.088256241398938,9.0,45.0,3.0,453.5467967272789,527.5858281505476,454.9643922339812,245.0280370990193,312.40000045592177,527.6299489363902
20.000000000000043,36.35993494691402,15.635715724147758,130.20718208459633,128.4742855154684,37.3770237574376,17.811188281752777,38.58182068610701,3.938384189063697,130.13801342575172,46.23339645989602,130.2056562845964,128.50350678546397,1.4677292165508753,1.0810167527949393,3.125037587832,4.206054340626937,2.865688229952289,0.01488564277408264,35.0,17.98314360688829,18.08825624139888,9.0,45.0,3.0,453.5467967272789,527.5858281505472,454.96439223398096,245.0280370990186,312.40000045592126,527.6299489363895
30.000000000000004,38.7583173496124,19.725988648373455,135.64927473778434,131.3482527092118,39.80864388048151,15.59736165272102,40.975497791373606,6.291499779846276,135.5749912104991,47.57845867204679,135.64763909917383,131.47069585192122,1.5299517740874222,1.2832489927266248,3.084662426724724,4.3679114194513495,2.8549340531054965,0.015750363074577216,35.0,17.244107799543315,16.891107519748914,9.0,45.0,3.0,455.4251778434447,528.6417563794126,447.16750803031096,251.32044011708285,313.872601852782,528.8248104238953
30.000000000000064,38.758317349612405,19.72598864837352,135.64927473778437,131.3482527092109,39.808643880481526,15.597361652721872,40.97549779137361,6.291499779846276,135.5749912104991,47.57845867204668,135.64763909917383,131.47069585192122,1.5299517727960266,1.2832489916434655,3.0846624241210447,4.36791141576451,2.854934053105503,0.01575036306128276,35.0,17.244107799543315,16.891107519748914,9.0,45.0,3.0,455.4251778434447,528.6417563794124,447.16750803031096,251.3204401170828,313.87260185278086,528.8248104238953
40.00000000000001,40.64444546711552,22.56234474267518,142.2160862050286,134.85255092615648,41.70269788444096,14.727862460486904,42.83182972940665,8.046985608239709,142.13901033852358,47.90006706532631,142.2143924275178,134.96637546048396,1.5996740703110344,1.4446533650902245,2.944567919376053,4.389221284466277,2.7438222359963955,0.016369603383260243,35.0,17.625465546997532,16.668976895258538,9.0,45.0,3.0,456.46722372074527,530.1273857799106,441.8751947361407,261.9949709802491,311.5685706407216,530.2985913291525
40.000000000000085,40.64444546711554,22.562344742675354,142.2160862050287,134.85255092615623,41.702697884440965,14.72786246048696,42.83182972940667,8.046985608239765,142.13901033852363,47.900067065325054,142.21439242751785,134.9663754604835,1.599674071609535,1.4446533662628946,2.9445679217663248,4.38922128802922,2.74382223599645,0.01636960339654818,35.0,17.625465546997532,16.66897689525848,9.0,45.0,3.0,456.46722372074623,530.1273857799104,441.8751947361417,261.9949709802479,311.5685706407218,530.2985913291523
50.00000000000001,41.92341330535927,24.10011328244724,148.51792379357903,137.9921205574356,42.98194233478624,14.656289880781287,44.09301756929316,9.207538004875856,148.43943815145215,47.94383557463527,148.5162073240436,138.11668956893385,1.6658808131129088,1.549817257978288,2.8391159352096618,4.38893319318795,2.6346021627961926,0.016770869835808586,35.0,18.030999346945464,16.903985246282787,9.0,45.0,3.0,456.65076586181726,531.3727438016653,438.96148110918574,269.6729490887608,308.98512239423906,531.5609885332369
