time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg]
0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3021614444116949,0.0456745497617134,6.0,5.0,2.5,290.15515621320213,290.15515621320213,290.15515621320213,290.15515621320213,290.15515621320213,290.15515621320213
10.000000000000002,22.660380558018407,-8.934244739648932,62.56177092637928,71.95114762108034,62.422489431596304,25.1080403497254,62.19270924369126,15.336156605456154,23.37966535325756,3.945399832067437,23.207543806503203,4.667591964463043,0.7475112816492889,0.9911005379642988,1.855880706924972,2.84698124488927,3.8086130802036418,0.0109102351105285,5.0,20.016126789439227,25.09632045343244,6.0,5.0,2.5,445.20391475300426,498.61795453668327,407.7765997974189,237.67204310147525,459.7671406827552,460.8881934900044
10.00000000000002,22.660380558018407,-8.934244739648761,62.561770926379296,71.95114762107926,62.422489431596325,25.108040349725343,62.19270924369129,15.336156605456324,23.37966535325755,3.945399832067381,23.207543806503192,4.667591964462929,0.7475112816492729,0.9911005379642864,1.8558807069250096,2.846981244889296,3.8086130802037568,0.0109102351105285,5.0,20.016126789439284,25.096320453432607,6.0,5.0,2.5,445.20391475300426,498.6179545366821,407.7765997974189,237.67204310147176,459.7671406827552,460.88819349000414
20.000000000000004,21.275693860783583,-16.921892379979568,70.47327968859672,78.75025846029644,70.35352779025827,34.056191012778584,70.12347934880758,15.607604359316042,21.95597865553136,-16.381941852626426,21.7645835543921,4.933759669741676,0.8444933286536944,0.8901563284287993,1.8075382630148409,2.69769459144364,3.1944534076359727,0.0102224850003644,5.0,25.29227079144005,35.19081567440662,6.0,5.0,2.5,437.6542665452554,500.463803394556,413.38553148737657,236.5656816220652,435.29160298467,463.4076518324984
20.000000000000043,21.275693860783583,-16.921892379979568,70.47327968859675,78.75025846029763,70.35352779025827,34.056191012778584,70.12347934880758,15.607604359315305,21.95597865553136,-16.381941852626426,21.7645835543921,4.933759669741676,0.844493328653701,0.8901563284288044,1.80753826301486,2.6976945914436645,3.1944534076359776,0.0102224850003644,5.0,25.29227079143999,35.19081567440651,6.0,5.0,2.5,437.6542665452554,500.46380339455646,413.38553148737657,236.56568162206327,435.29160298467,463.4076518324984
30.000000000000004,22.643128092474768,-15.323211409751082,73.48866390900801,79.04982830339753,73.35862800399332,37.71839295489349,73.10555496727305,19.26767294877117,23.378650525884257,-14.266342400121744,23.16460388580264,4.95390581389421,0.8825707071403368,0.8875019784273204,1.8700379981231168,2.757539976550437,3.124440856965767,0.0109722022347013,5.0,27.61476608846033,39.039474003469536,6.0,5.0,2.5,436.7374809442026,498.08202780203806,417.1956241937952,246.7614708559339,397.257118145593,461.290313202647
30.000000000000064,22.643128092474782,-15.323211409751195,73.48866390900801,79.0498283033981,73.35862800399333,37.71839295489332,73.10555496727305,19.26767294876913,23.37865052588427,-14.266342400121744,23.16460388580265,4.95390581389421,0.8825707071403507,0.8875019784273409,1.8700379981231423,2.757539976550484,3.1244408569657702,0.0109722022347013,5.0,27.61476608846033,39.039474003469536,6.0,5.0,2.5,436.7374809442026,498.0820278020392,417.19562419379423,246.76147085593064,397.2571181455928,461.29031320264687
40.00000000000001,24.369238852737848,-12.848472153582692,77.36850096403654,79.91448515548835,77.22769470183414,40.80056687278592,76.95658649051371,22.71627854846872,25.14416455226796,-11.7685036192604,24.92564315045905,4.917036717835629,0.9228381805160752,0.940704856095379,1.9000175935686063,2.8407224496639856,3.0782454710265443,0.0118832746700205,5.0,29.968196644178025,42.14380978675035,6.0,5.0,2.5,436.2568267939409,495.6744971547594,416.5124073926995,256.62233951755184,373.3168888034381,458.458558598112
40.000000000000085,24.36923885273785,-12.848472153582692,77.36850096403657,79.91448515548832,77.22769470183415,40.80056687278608,76.95658649051374,22.71627854846844,25.144164552267963,-11.7685036192604,24.925643150459056,4.917036717835629,0.922838180516064,0.940704856095366,1.9000175935686097,2.840722449663976,3.078245471026571,0.0118832746700205,5.0,29.968196644178025,42.14380978675041,6.0,5.0,2.5,436.25682679394095,495.6744971547588,416.5124073927,256.62233951755206,373.3168888034386,458.458558598112
50.00000000000001,25.37964930126149,-11.40439391107958,81.36200569850486,82.43150839663349,81.2173557134118,43.69648387985478,80.93655633830312,24.364292855533904,26.16277918432106,-10.385473327480613,25.947704902148303,4.88973184170584,0.9632755925294184,0.9908644335204312,1.9102858722833804,2.901150305803812,3.0117552321509806,0.012346001642487,5.0,31.914072273376235,45.07102676192176,6.0,5.0,2.5,436.0179742640013,495.63018197384287,415.3722602422836,260.6431481296308,375.2685954702607,456.75303975921895
50.00000000000011,25.379649301261505,-11.404393911078955,81.3620056985049,82.43150839663366,81.21735571341186,43.696483879854895,80.93655633830315,24.36429285553072,26.162779184321064,-10.385473327480613,25.94770490214832,4.889731841706066,0.9632755925294184,0.9908644335204424,1.9102858722833689,2.901150305803812,3.0117552321509806,0.012346001642487,5.0,31.914072273376235,45.07102676192181,6.0,5.0,2.5,436.0179742640013,495.63018197384287,415.37226024228266,260.6431481296308,375.2685954702604,456.7530397592192
60.00000000000001,25.837709592935088,-10.758269877558746,84.43215338025777,84.96343207977571,84.2877340406223,45.85001788939974,84.00412300220198,24.655091800348487,26.618303540184463,-9.77975220044658,26.405830492980417,4.882732416007968,0.9952024694186448,1.0241846869282998,1.9271373683011528,2.951322055229453,2.965549369017835,0.0124981713936577,5.0,33.14516808240029,47.28521704674114,6.0,5.0,2.5,435.90385983566176,496.5692854735466,414.6225226496648,260.42897644185047,376.2702078371484,455.98102008144747
60.00000000000013,25.83770959293509,-10.758269877558746,84.43215338025777,84.963432079776,84.28773404062233,45.850017889399965,84.00412300220202,24.65509180034684,26.618303540184467,-9.77975220044658,26.405830492980417,4.882732416008025,0.9952024684507532,1.024184685932212,1.927137366426933,2.951322052359145,2.965549369017857,0.0124981713815026,5.0,33.14516808240029,47.28521704674114,6.0,5.0,2.5,435.90385983566176,496.5692854735462,414.62252264966565,260.42897644185007,376.2702078371482,455.9810200814472
