time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_eva_mid[bar],T_eva_mid[degC],P_eva_out[bar],T_eva_out[degC],P_gc_in[bar],T_gc_in[degC],P_gc_out[bar],T_gc_out[degC],W_comp[kW],Q_cool_s1[kW],Q_cool_s2[kW],Q_cool_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_eva_mid[kJ/kg],h_eva_out[kJ/kg],h_gc_in[kJ/kg],h_gc_out[kJ/kg]
0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.521971406329612,1.3264565922616498,9.0,25.0,3.0,243.24050513778465,243.24050513778465,243.24050513778465,243.24050513778465,243.24050513778465,243.24050513778465
10.000000000000002,29.652725125082878,7.4664062278896495,76.15084301764112,84.29523163370402,30.60192376054856,9.709706407526083,31.519637998069012,-3.6998975296290264,76.0775674681718,28.130640828756896,76.14890020189635,82.66156195592129,0.8685103121873069,0.6639151902808638,2.697757610818781,3.3616728010996453,3.870619328207415,0.01386235300662618,25.0,11.962913052658507,10.167247249999662,9.0,25.0,3.0,453.80054551130206,503.06694488605336,455.17354684868457,260.5631795085037,278.70772988573066,500.7628571178872
10.00000000000002,29.652725125082863,7.4664062278899905,76.15084301764115,84.29523163370497,30.60192376054855,9.7097064075258,31.519637998069005,-3.699897529629084,76.07756746817182,28.13064082875775,76.14890020189635,82.66156195592049,0.86851031218732,0.6639151902808803,2.6977576108187624,3.3616728010996426,3.870619328207353,0.01386235300662618,25.0,11.962913052658507,10.167247249999662,9.0,25.0,3.0,453.80054551130246,503.06694488605456,455.17354684868457,260.5631795085051,278.7077298857311,500.76285711788694
20.000000000000004,28.23219824579257,8.665368761723983,82.42900315334835,99.43812763161924,29.147312054857736,11.002018992635442,30.212588383060513,-5.249116165428347,82.3701548548799,26.986140227237627,82.4274048594423,99.12750114403242,0.9740803291631568,0.7353719264176778,2.6440297263661163,3.379401652783794,3.469325425847656,0.012363208583972454,25.0,11.015689293515663,11.117360795847333,9.0,25.0,3.0,457.7560888648092,518.7418183587175,459.261148642362,245.39840351373803,269.34908044714075,518.3238926690743
20.000000000000043,28.23219824579257,8.665368761723983,82.42900315334839,99.43812763161976,29.147312054857736,11.002018992635442,30.212588383060513,-5.249116165428347,82.37015485487994,26.98614022724155,82.42740485944233,99.12750114403258,0.9740803295913264,0.7353719267409201,2.6440297275283298,3.37940165426925,3.469325425847652,0.012363208589406842,25.0,11.015689293515663,11.117360795847333,9.0,25.0,3.0,457.7560888648092,518.7418183587176,459.261148642362,245.398403513738,269.34908044714047,518.3238926690741
30.000000000000004,28.703980387723057,9.593212672447862,85.0773650675095,102.37939513774064,29.63030192853708,10.101927902389264,30.723855170175668,-4.637363522405451,85.01995649249602,26.64200773184353,85.07578584996931,102.46346349147854,1.0070899592253355,0.7886331716491805,2.6710927766674626,3.459725948316643,3.4353693199144804,0.012436394654351788,25.0,10.105966005393157,10.254722672957485,9.0,25.0,3.0,458.1734000887219,520.7293054094229,457.3159775464944,242.5356613128998,266.7933470984368,520.8440218756193
30.000000000000064,28.70398038772306,9.59321267244718,85.07736506750953,102.37939513774036,29.63030192853708,10.101927902389264,30.723855170175675,-4.637363522405451,85.01995649249605,26.64200773184348,85.07578584996931,102.463463491479,1.0070899601209355,0.788633172350505,2.671092779042852,3.4597259513933563,3.435369319914477,0.012436394665411408,25.0,10.105966005393157,10.254722672957373,9.0,25.0,3.0,458.1734000887217,520.7293054094225,457.3159775464944,242.5356613128998,266.79334709843766,520.84402187562
40.00000000000001,29.377444672335983,10.145824276827796,88.04980199829998,104.20264982211978,30.31280650404087,9.613353081107505,31.40977825571933,-3.8282746999949495,87.99255415732635,26.475178956307783,88.04821737457868,104.34902382006294,1.0395160125508505,0.8303789308049153,2.6931617701006454,3.523540700905561,3.3895973302606515,0.012680894586313864,25.0,9.777318679105406,9.77993906377776,9.0,25.0,3.0,457.7876043839496,521.0173730545209,455.53469553892046,243.15521775292112,264.95314675310544,521.2179503107129
40.000000000000085,29.377444672335994,10.145824276828307,88.04980199829998,104.20264982211978,30.312806504040875,9.613353081107505,31.40977825571933,-3.8282746999949495,87.99255415732638,26.475178956306248,88.04821737457868,104.3490238200638,1.0395160116318407,0.8303789300707984,2.6931617677196904,3.5235406977904886,3.3895973302606524,0.012680894575103008,25.0,9.777318679105406,9.77993906377776,9.0,25.0,3.0,457.7876043839496,521.0173730545209,455.53469553892046,243.15521775292103,264.95314675310374,521.2179503107135
50.00000000000001,30.022791698040127,10.464160776238316,91.12928884145207,105.83314448323318,30.96575119347031,9.34936222570178,32.06252826382497,-3.070293743638274,91.07198750186072,26.338721803076798,91.12769958847773,105.99092088005324,1.0725054647952632,0.8656295212088305,2.719170455851741,3.5847999770605714,3.3424538100091588,0.012930493391250466,25.0,9.593332631609487,9.54051175174925,9.0,25.0,3.0,457.1427785418143,521.0091949023359,454.06437732912815,243.77306256060652,263.34349002388234,521.2274193062592
