time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg]
0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,-2.240411657123502,-0.34099049908604684,6.0,-30.0,2.5,248.26707489586505,248.26707489586505,248.26707489586505,248.26707489586505,248.26707489586505,248.26707489586505
10.000000000000002,12.279410419351366,-32.42655020309252,91.15273202889017,158.20647940489056,90.8877279208476,45.77790052054189,90.33767810340552,-3.244545654026922,14.409740301199571,-29.697678447291167,13.81034288870618,-30.960693101664678,2.4364357702984014,2.9777937940630657,3.094509401068756,6.072303195131822,2.492289461990668,0.015249924268702171,-30.0,14.089689161232911,49.06378000924224,6.0,-30.0,2.5,438.68892585195056,587.1392670798572,391.8731305670044,188.95347362026789,267.2943093880319,312.61200829806324
10.00000000000002,12.27941041935136,-32.426550203093,91.15273202889017,158.2064794048904,90.88772792084758,45.77790052054178,90.33767810340547,-3.244545654027206,14.409740301199564,-29.697678447291167,13.810342888706169,-30.960693101664702,2.4364357715144926,2.9777937955493528,3.094509402613336,6.072303198162689,2.4922894619906746,0.015249924276313855,-30.0,14.089689161232911,49.06378000924224,6.0,-30.0,2.5,438.68892585195056,587.1392670798568,391.8731305670052,188.9534736202674,267.29430938803165,312.6120082980631
20.000000000000004,10.370112745345384,-37.19628183297692,72.69942770236048,147.00870632309596,72.44117338228787,45.566655350361366,71.95761916070624,-6.47830165656319,12.41136338236402,-34.07431182874021,11.76257014427596,-35.606990959536176,2.0195870450491844,1.8540631994886616,3.4005003531548454,5.254563552643508,2.6018009798213675,0.013125616206210349,-30.0,19.4567325872942,50.87210126414254,6.0,-30.0,2.5,437.7504014537425,582.9398330163436,441.6845067626766,182.61092882689113,221.71261354604388,317.7563255933185
20.000000000000043,10.370112745345384,-37.19628183297692,72.69942770236045,147.00870632309528,72.44117338228786,45.56665535036132,71.95761916070622,-6.47830165656535,12.41136338236402,-34.07431182874021,11.762570144275958,-35.606990959536176,2.0195870455990805,1.854063199993495,3.400500354080711,5.254563554074206,2.6018009798213564,0.013125616209784231,-30.0,19.4567325872942,50.872101264142486,6.0,-30.0,2.5,437.7504014537425,582.9398330163434,441.68450676267616,182.6109288268932,221.71261354604053,317.75632559331854
30.000000000000004,10.184802369472182,-37.77218892888016,62.18940038810739,130.85688919422114,61.90359733975199,39.7037895982906,61.35825805776639,2.0048235277487265,12.228558272622022,-34.500046905691704,11.604156996789598,-35.99068124469457,1.7821935567920546,1.5891435722579998,3.2347382081861955,4.823881780444196,2.70671036939847,0.013122342415319128,-30.0,16.623928108960285,44.23701377948993,6.0,-30.0,2.5,437.55592751928174,570.0086648525441,448.9065382685876,202.40038061719628,235.30231230539783,343.00020161957605
30.000000000000064,10.184802369472182,-37.77218892888016,62.189400388107344,130.85688919422034,61.90359733975195,39.70378959829037,61.35825805776634,2.0048235277538997,12.228558272622022,-34.500046905691704,11.604156996789598,-35.99068124469457,1.782193556359646,1.5891435718724365,3.2347382074013176,4.823881779273753,2.7067103693984493,0.013122342412135316,-30.0,16.623928108960285,44.23701377948993,6.0,-30.0,2.5,437.55592751928174,570.0086648525439,448.9065382685871,202.40038061719952,235.302312305398,343.0002016195764
40.00000000000001,10.266727597905051,-37.668011174888704,56.846743671999086,120.07777624599254,56.53389502362673,35.04605175568361,55.89892838742712,11.3846265487972,12.30110013901125,-34.33054753371451,11.732826839289482,-35.67873723108809,1.674205773221779,1.4935646821441853,2.9852466430573967,4.4788113252015815,2.6751856891418577,0.013432205407852692,-30.0,14.213930053994943,39.03863193579184,6.0,-30.0,2.5,437.48393685008176,560.8786933448403,449.6858819788808,227.44042396108043,264.1850627469453,381.0118276392992
40.000000000000085,10.266727597905051,-37.668011174888704,56.84674367199906,120.07777624599233,56.5338950236267,35.04605175568423,55.89892838742709,11.384626548799588,12.30110013901125,-34.33054753371451,11.732826839289483,-35.678737231088064,1.674205773221776,1.493564682144179,2.98524664305734,4.47881132520152,2.6751856891418253,0.013432205407852692,-30.0,14.213930053994773,39.03863193579178,6.0,-30.0,2.5,437.48393685008176,560.87869334484,449.68588197888096,227.4404239610849,264.1850627469455,381.0118276393
50.00000000000001,10.331903679391464,-37.572781725949085,53.84891165107703,113.45719947303952,53.51677712440571,32.05462251966782,52.82076054732934,16.05368662065183,12.357130332251584,-34.20012780022864,11.832483464716027,-35.43887124671846,1.6266388058781829,1.4433573657668677,2.8249143427905667,4.2682717085574335,2.6239824681012074,0.013669889563763828,-30.0,12.579903702780086,35.72190155197882,6.0,-30.0,2.5,437.43966011587816,555.2440074229829,449.6573924738086,243.0050761099036,286.07978063397394,411.32693592045047
50.00000000000011,10.331903679391464,-37.572781725949085,53.848911651077,113.45719947303894,53.516777124405685,32.05462251966878,52.82076054732932,16.053686620649103,12.357130332251584,-34.20012780022864,11.832483464716027,-35.43887124671846,1.6266388058781824,1.4433573657668517,2.8249143427905907,4.2682717085574415,2.6239824681012127,0.013669889563763825,-30.0,12.57990370278003,35.72190155197865,6.0,-30.0,2.5,437.43966011587816,555.2440074229829,449.65739247380975,243.0050761099029,286.07978063397405,411.3269359204508
60.00000000000001,10.335832766549451,-37.60793205975765,53.049997252470725,111.65952578457892,52.715134511917526,30.58893537593559,52.023150373447,15.982759028493092,12.340447293334371,-34.238914543786336,11.844023262632827,-35.411191282627215,1.6111609838119607,1.4432888808029307,2.7763084392065487,4.21959732000948,2.618979333788255,0.013711579786755418,-30.0,11.932689458533844,34.07312281878711,6.0,-30.0,2.5,437.3940634906033,553.7226994888101,448.4621165910565,245.98300897660792,294.5736509866569,428.52512725541857
60.00000000000013,10.335832766549451,-37.60793205975765,53.049997252470725,111.65952578457863,52.71513451191752,30.588935375934735,52.023150373446974,15.982759028493092,12.340447293334371,-34.238914543786336,11.844023262632827,-35.411191282627215,1.6111609838119607,1.443288880802938,2.7763084392065416,4.21959732000948,2.618979333788255,0.013711579786755418,-30.0,11.932689458533844,34.07312281878711,6.0,-30.0,2.5,437.3940634906033,553.7226994888101,448.462116591056,245.98300897660792,294.573650986657,428.52512725541874
