time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg]
0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,34.80916112064982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.5,231.51184236893016,231.51184236893016,231.51184236893016,231.51184236893016,231.51184236893016,231.51184236893016
10.000000000000002,26.94711745250844,-8.692188768793299,105.51540581241665,104.0495097265001,105.40950548543184,32.7758823948688,105.13373154445028,8.921284517312301,27.62212466467419,-8.471336774520921,27.46503820662552,-0.13930589933050896,1.1741134266916695,2.7860527833518987,0.7748403213117729,3.560893104663672,3.032835690072376,0.012172820841503748,0.0,8.2412078786229,31.48922155403602,6.0,0.0,2.5,436.40789608881767,507.705817969792,278.8309483214411,215.177639741566,425.5738816018813,447.5197179653396
10.00000000000002,26.947117452508422,-8.692188768793415,105.51540581241666,104.0495097265001,105.40950548543184,32.77588239486727,105.13373154445028,8.92128451731435,27.622124664674175,-8.471336774520921,27.46503820662552,-0.13930589933050896,1.1741134266916693,2.7860527833518955,0.774840321311787,3.5608931046636827,3.0328356900723854,0.012172820841503746,0.0,8.241207878622847,31.48922155403608,6.0,0.0,2.5,436.40789608881767,507.705817969792,278.8309483214413,215.17763974156503,425.57388160188094,447.5197179653396
20.000000000000004,26.053441292205218,-10.422460294480118,103.13215204911508,103.81359537435576,103.02104022602158,42.97587494211575,102.76072098001134,4.253047609037593,26.748852080525264,-9.60756413864732,26.56344406769689,-0.1625968779028426,1.178753056397521,2.171192073525174,1.4408639273394368,3.6120560008646105,3.0643025536694646,0.011866802845920952,0.0,13.606725460856296,41.61766393681148,6.0,0.0,2.5,435.89898892001855,509.1756419384831,326.2121174141424,204.79239332774165,299.45355347805446,449.1868877241654
20.000000000000043,26.053441292205218,-10.422460294480118,103.13215204911506,103.81359537435536,103.02104022602158,42.97587494211467,102.76072098001131,4.25304760904379,26.748852080525264,-9.60756413864732,26.56344406769689,-0.1625968779028426,1.17875305639752,2.1711920735251926,1.4408639273394146,3.612056000864608,3.064302553669465,0.011866802845920952,0.0,13.606725460856296,41.61766393681148,6.0,0.0,2.5,435.89898892001855,509.17564193848307,326.2121174141407,204.79239332774188,299.45355347805423,449.1868877241654
30.000000000000004,26.8616531581958,-9.45927802242204,101.10147401432738,100.17701867223384,100.9802660181266,45.763844919308895,100.7236291109509,4.548856588354283,27.589975689670773,-8.512694408906668,27.40011490947115,-0.842823862223895,1.1643705877565032,1.9059735095608137,1.8120013662097472,3.717974875770561,3.1931198837084294,0.012405050709086872,0.0,19.903036241449456,45.72353488440791,6.0,0.0,2.5,435.3965392477942,505.2779203782789,351.6329612194532,205.56331517742365,264.89582495140235,446.6835012364668
30.000000000000064,26.861653158195807,-9.45927802242204,101.10147401432738,100.17701867223384,100.9802660181266,45.763844919308326,100.7236291109509,4.548856588354283,27.589975689670776,-8.512694408906668,27.40011490947116,-0.8428238622237245,1.1643705877565058,1.90597350956084,1.8120013662097207,3.717974875770561,3.1931198837084223,0.012405050709086872,0.0,19.903036241449517,45.72353488440791,6.0,0.0,2.5,435.396539247794,505.2779203782789,351.6329612194511,205.56331517742365,264.89582495140206,446.6835012364665
40.00000000000001,27.912433391255394,-8.099458587402125,101.33331201447903,98.13771529824383,101.20166937435852,48.191051439125765,100.93889878991185,6.85387158435168,28.682912218421833,-7.126079129692869,28.47789009815923,-7.383198171017343,1.1677352505783465,1.7399786152500398,2.0606218576067024,3.8006004728567424,3.2546764953566423,0.013050490558251178,0.0,24.79502817249704,48.846425143598815,6.0,0.0,2.5,434.9346413556432,501.9694422790083,368.6427594632472,210.74663683022683,245.3534791544962,405.8505170934105
40.000000000000085,27.9124333912554,-8.099458587402125,101.33331201447903,98.13771529824383,101.20166937435852,48.19105143912657,100.93889878991185,6.853871584352646,28.682912218421837,-7.126079129692812,28.477890098159232,-7.383198171017283,1.16773525057835,1.7399786152500278,2.0606218576066775,3.8006004728567055,3.2546764953566005,0.013050490558251178,0.0,24.795028172496984,48.84642514359888,6.0,0.0,2.5,434.93464135564307,501.9694422790083,368.64275946324807,210.7466368302296,245.35347915449609,405.85051709341
50.00000000000001,28.29305797163807,-7.5920120283934684,101.60707709932488,97.71186391077549,101.46998084043038,50.00396542260984,101.19943321200904,9.52645619092493,29.08806345154185,-6.621921358101929,28.8676751841437,-6.89552153448102,1.171353094919034,1.6151828360556686,2.161869142840399,3.777051978896068,3.2245204245242074,0.013289752055171787,0.0,28.11910647525127,51.04695114743368,6.0,0.0,2.5,434.9324870608151,501.0851563270541,379.5491916717082,216.8772972777797,249.6796511376608,386.46453368487056
