时间(s),吸气压力(bar),吸气温度(℃),排气压力(bar),排气温度(℃),气冷中间压力(bar),气冷中间温度(℃),气冷出口压力(bar),气冷出口温度(℃),蒸发器进口压力(bar),蒸发器进口温度(℃),蒸发器出口压力(bar),蒸发器出口温度(℃),压缩机功耗(kW),一级制热量(kW),二级制热量(kW),制热量(kW),COP,质量流量(kg/s),进风温度(℃),中间温度(℃),出风温度(℃),室内风量(kg/min),环境温度(℃),室外风量(m/s),吸气比焓(kJ/kg),排气比焓(kJ/kg),气冷中间比焓(kJ/kg),气冷出口比焓(kJ/kg),蒸发器进口比焓(kJ/kg),蒸发器出口比焓(kJ/kg)
0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,2.3884225659946421e+002,2.3884225659946421e+002,2.3884225659946421e+002,2.3884225659946421e+002,2.3884225659946421e+002,2.3884225659946421e+002
1.0000000000000002e+001,2.0136742663214871e+001,-1.6746415393567361e+001,6.6102896617355469e+001,7.7760619468734149e+001,6.5997562104947690e+001,2.6167853161353946e+001,6.5821847903229994e+001,8.0235535799718605e+000,2.0759482257938199e+001,-1.8240588331199632e+001,2.0599275674564804e+001,-1.8495382739804171e+001,7.8432625579184978e-001,1.8900903003750935e+000,8.3481248663063268e-001,2.7249027870057261e+000,3.4741955492165504e+000,9.5165426884254861e-003,0.0000000000000000e+000,6.1706232909345999e+000,1.9207480294252434e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4036920974396037e+002,5.0311668920958778e+002,3.0450566393946320e+002,2.1678341921649516e+002,4.1880903483844315e+002,3.8525754554455489e+002
1.0000000000000021e+001,2.0136742663214864e+001,-1.6746415393567190e+001,6.6102896617355498e+001,7.7760619468734035e+001,6.5997562104947718e+001,2.6167853161353946e+001,6.5821847903230008e+001,8.0235535799749869e+000,2.0759482257938192e+001,-1.8240588331199632e+001,2.0599275674564797e+001,-1.8495382739804171e+001,7.8432625579184356e-001,1.8900903003750960e+000,8.3481248663060370e-001,2.7249027870056999e+000,3.4741955492165446e+000,9.5165426884254879e-003,0.0000000000000000e+000,6.1706232909345999e+000,1.9207480294252491e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4036920974396037e+002,5.0311668920958726e+002,3.0450566393946247e+002,2.1678341921649749e+002,4.1880903483844304e+002,3.8525754554455546e+002
2.0000000000000004e+001,1.7931868048723054e+001,-2.2475631816164224e+001,6.8406048645603008e+001,8.4403495299066094e+001,6.8314977383839377e+001,2.7675306529497846e+001,6.8128321379891915e+001,4.1301615535223846e+000,1.8506053078536727e+001,-2.1966439981705207e+001,1.8331037704580599e+001,-2.2269500523768414e+001,8.1306074782320703e-001,1.4965973330605993e+000,1.0450118390214644e+000,2.5416091720820635e+000,3.1259769689862265e+000,8.3876597384847356e-003,0.0000000000000000e+000,9.2855022246496333e+000,2.3513301714416116e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3793198375955990e+002,5.0992808450702512e+002,3.3149960985230985e+002,2.0691040718989353e+002,2.6791607273178965e+002,3.4877567375282808e+002
2.0000000000000043e+001,1.7931868048723054e+001,-2.2475631816164224e+001,6.8406048645603008e+001,8.4403495299066435e+001,6.8314977383839377e+001,2.7675306529497846e+001,6.8128321379891887e+001,4.1301615535213045e+000,1.8506053078536727e+001,-2.1966439981705207e+001,1.8331037704580595e+001,-2.2269500523768414e+001,8.1306074849140397e-001,1.4965973342905359e+000,1.0450118398803034e+000,2.5416091741708393e+000,3.1259769689862358e+000,8.3876597453779300e-003,0.0000000000000000e+000,9.2855022246496333e+000,2.3513301714416116e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3793198375955990e+002,5.0992808450702535e+002,3.3149960985231075e+002,2.0691040718989191e+002,2.6791607273178954e+002,3.4877567375282803e+002
3.0000000000000004e+001,1.7425298753900172e+001,-2.3551513323806347e+001,6.4581622097157279e+001,8.0536549128419495e+001,6.4487763889440103e+001,2.5159324754577881e+001,6.4303658686031412e+001,3.4163291893340215e+000,1.8012448795568979e+001,-2.2826684277176156e+001,1.7825048893236886e+001,-2.3157821355025533e+001,7.7739489752823909e-001,1.1383322336630994e+000,1.3554781390097466e+000,2.4938103726728462e+000,3.2079067930623482e+000,8.2410272191962407e-003,0.0000000000000000e+000,1.2040541993634633e+001,2.3639332845354716e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3772065247496153e+002,5.0814177031836277e+002,3.7001187420401374e+002,2.0553260445322795e+002,2.5058046051932996e+002,3.4678473801705042e+002
3.0000000000000064e+001,1.7425298753900172e+001,-2.3551513323806006e+001,6.4581622097157279e+001,8.0536549128420063e+001,6.4487763889440075e+001,2.5159324754577881e+001,6.4303658686031383e+001,3.4163291893391943e+000,1.8012448795568979e+001,-2.2826684277176156e+001,1.7825048893236886e+001,-2.3157821355025533e+001,7.7739489815740903e-001,1.1383322345843843e+000,1.3554781401067351e+000,2.4938103746911193e+000,3.2079067930622895e+000,8.2410272258658882e-003,0.0000000000000000e+000,1.2040541993634577e+001,2.3639332845354772e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3772065247496158e+002,5.0814177031836346e+002,3.7001187420401357e+002,2.0553260445323144e+002,2.5058046051932993e+002,3.4678473801705047e+002
4.0000000000000007e+001,1.7295217024056086e+001,-2.3825433424569724e+001,6.1595817455196467e+001,7.6483445789479049e+001,6.1496993275267272e+001,2.3099193840146711e+001,6.1305566025145403e+001,4.3986429707384787e+000,1.7891256297600698e+001,-2.3040540056086229e+001,1.7702320635845599e+001,-2.3376071268852371e+001,7.4794368376849107e-001,9.1963948919241945e-001,1.5441731817834414e+000,2.4638126709758610e+000,3.2941152180897060e+000,8.2874612923086125e-003,0.0000000000000000e+000,1.3690520952946429e+001,2.3163162259094406e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3767171424381314e+002,5.0550248430729084e+002,3.9453490850142686e+002,2.0820846578047559e+002,2.5013878981908695e+002,3.5195302623345293e+002
4.0000000000000085e+001,1.7295217024056086e+001,-2.3825433424569724e+001,6.1595817455196453e+001,7.6483445789478480e+001,6.1496993275267243e+001,2.3099193840146711e+001,6.1305566025145374e+001,4.3986429707421735e+000,1.7891256297600698e+001,-2.3040540056086229e+001,1.7702320635845599e+001,-2.3376071268852371e+001,7.4794368376849074e-001,9.1963948919241978e-001,1.5441731817834483e+000,2.4638126709758681e+000,3.2941152180897166e+000,8.2874612923086108e-003,0.0000000000000000e+000,1.3690520952946429e+001,2.3163162259094406e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3767171424381314e+002,5.0550248430729084e+002,3.9453490850142680e+002,2.0820846578047465e+002,2.5013878981908701e+002,3.5195302623345287e+002
5.0000000000000007e+001,1.7272364855575368e+001,-2.3880888829056772e+001,6.0051264294786122e+001,7.4173439018417355e+001,5.9949209882751568e+001,2.3540790969559339e+001,5.9744201165320732e+001,6.3218684476971703e+000,1.7873031805025324e+001,-2.3072791760500849e+001,1.7684815240622889e+001,-2.3407292870601509e+001,7.3248412198867996e-001,7.6638889074360683e-001,1.6589383734845435e+000,2.4253272642281503e+000,3.3110987548009021e+000,8.3428721140053532e-003,0.0000000000000000e+000,1.4639799517366214e+001,2.2545126909074440e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3765418839766164e+002,5.0390197296570977e+002,4.1204045570032417e+002,2.1319545953891242e+002,2.5394202999886363e+002,3.5780048284737006e+002
