时间(s),吸气压力(bar),吸气温度(℃),排气压力(bar),排气温度(℃),气冷中间压力(bar),气冷中间温度(℃),气冷出口压力(bar),气冷出口温度(℃),蒸发器进口压力(bar),蒸发器进口温度(℃),蒸发器出口压力(bar),蒸发器出口温度(℃),压缩机功耗(kW),一级制热量(kW),二级制热量(kW),制热量(kW),COP,质量流量(kg/s),进风温度(℃),中间温度(℃),出风温度(℃),室内风量(kg/min),环境温度(℃),室外风量(m/s),吸气比焓(kJ/kg),排气比焓(kJ/kg),气冷中间比焓(kJ/kg),气冷出口比焓(kJ/kg),蒸发器进口比焓(kJ/kg),蒸发器出口比焓(kJ/kg)
0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,2.6232443099897142e+002,2.6232443099897142e+002,2.6232443099897142e+002,2.6232443099897142e+002,2.6232443099897142e+002,2.6232443099897142e+002
1.0000000000000002e+001,1.9681593461505233e+001,-1.4974388614577606e+001,5.7874995938692749e+001,7.0459891932801497e+001,5.7754334313709286e+001,2.0399997787778716e+001,5.7569367045241329e+001,1.0047919289394883e+001,2.0318653293943115e+001,-1.6892939392352275e+001,2.0163289947851322e+001,-1.9196226593110111e+001,7.0508464947709226e-001,1.1794471537726292e+000,1.4511834112182396e+000,2.6306305649908688e+000,3.7309428973412024e+000,9.4715396655115271e-003,0.0000000000000000e+000,1.1287159391118109e+001,1.8220662073547828e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4353722969033288e+002,5.0110443393375948e+002,3.7657904572604076e+002,2.2336389143572023e+002,4.3979193102847040e+002,4.2683262180673574e+002
1.0000000000000021e+001,1.9681593461505233e+001,-1.4974388614577606e+001,5.7874995938692770e+001,7.0459891932801384e+001,5.7754334313709293e+001,2.0399997787778716e+001,5.7569367045241350e+001,1.0047919289397441e+001,2.0318653293943115e+001,-1.6892939392352275e+001,2.0163289947851315e+001,-1.9196226593110140e+001,7.0508464947709248e-001,1.1794471537726268e+000,1.4511834112182447e+000,2.6306305649908714e+000,3.7309428973412051e+000,9.4715396655115289e-003,0.0000000000000000e+000,1.1287159391118109e+001,1.8220662073547828e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4353722969033288e+002,5.0110443393375948e+002,3.7657904572604104e+002,2.2336389143572001e+002,4.3979193102847040e+002,4.2683262180673592e+002
2.0000000000000004e+001,1.7951892913388377e+001,-2.2330433696503633e+001,6.0717350843519768e+001,7.3293212516900212e+001,6.0611326077075354e+001,2.2472877903108156e+001,6.0416808982617553e+001,6.9768161013117833e+000,1.8539956923070527e+001,-2.1907974509885463e+001,1.8378526850720998e+001,-2.2187058515371717e+001,7.3495804550940258e-001,9.0576229582812262e-001,1.5923057433317389e+000,2.4980680391598615e+000,3.3989260399597909e+000,8.6933665981291115e-003,0.0000000000000000e+000,1.4074755025560592e+001,2.2597164762013449e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3806850736894478e+002,5.0213961925823145e+002,3.9794956979879066e+002,2.1478626645041732e+002,2.9256518784320269e+002,3.8718108641607228e+002
2.0000000000000043e+001,1.7951892913388377e+001,-2.2330433696503633e+001,6.0717350843519768e+001,7.3293212516900212e+001,6.0611326077075354e+001,2.2472877903108156e+001,6.0416808982617553e+001,6.9768161013117833e+000,1.8539956923070520e+001,-2.1907974509885491e+001,1.8378526850720991e+001,-2.2187058515371746e+001,7.3495804550940258e-001,9.0576229582812162e-001,1.5923057433317398e+000,2.4980680391598615e+000,3.3989260399597909e+000,8.6933665981291115e-003,0.0000000000000000e+000,1.4074755025560592e+001,2.2597164762013449e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3806850736894478e+002,5.0213961925823145e+002,3.9794956979879078e+002,2.1478626645041732e+002,2.9256518784320173e+002,3.8718108641607273e+002
3.0000000000000004e+001,1.7403230514805326e+001,-2.3590879160527862e+001,5.9879337788696390e+001,7.3521020172155318e+001,5.9776464958571246e+001,2.3568510184304387e+001,5.9572617523374085e+001,7.6182699349883478e+000,1.8000045406800005e+001,-2.2848522165462924e+001,1.7819619253445889e+001,-2.3167453532034813e+001,7.2909848825697732e-001,7.6026125367760267e-001,1.6517550056635890e+000,2.4120162593411916e+000,3.3082173371494563e+000,8.4142791343159769e-003,0.0000000000000000e+000,1.4953475735395273e+001,2.2619128391178890e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3772104803886083e+002,5.0321223640630183e+002,4.1285853628040189e+002,2.1655473184310529e+002,2.6402286353724668e+002,3.6787698837583912e+002
3.0000000000000064e+001,1.7403230514805326e+001,-2.3590879160527862e+001,5.9879337788696375e+001,7.3521020172155602e+001,5.9776464958571246e+001,2.3568510184304387e+001,5.9572617523374078e+001,7.6182699349885752e+000,1.8000045406800005e+001,-2.2848522165462924e+001,1.7819619253445889e+001,-2.3167453532034813e+001,7.2909848825697721e-001,7.6026125367761022e-001,1.6517550056635868e+000,2.4120162593411969e+000,3.3082173371494639e+000,8.4142791343159752e-003,0.0000000000000000e+000,1.4953475735395273e+001,2.2619128391178890e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3772104803886083e+002,5.0321223640630183e+002,4.1285853628040098e+002,2.1655473184310458e+002,2.6402286353724662e+002,3.6787698837583918e+002
4.0000000000000007e+001,1.7326010833155220e+001,-2.3784214216832794e+001,5.8255415513647471e+001,7.1187584613793376e+001,5.8149424899401993e+001,2.3152854179331030e+001,5.7928666668480304e+001,1.0126396976066133e+001,1.7931394853160445e+001,-2.2969592497709158e+001,1.7747244600497424e+001,-2.3296051704335866e+001,7.1284080963686314e-001,7.1041408405550965e-001,1.6384972303871765e+000,2.3489113144426863e+000,3.2951414715429572e+000,8.4440513347230021e-003,0.0000000000000000e+000,1.5069692422601179e+001,2.2303185852092099e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3765409404952544e+002,5.0169073580331474e+002,4.1755883561765415e+002,2.2351723574610082e+002,2.6468891350629565e+002,3.6906092374841626e+002
4.0000000000000085e+001,1.7326010833155220e+001,-2.3784214216832794e+001,5.8255415513647463e+001,7.1187584613793831e+001,5.8149424899401986e+001,2.3152854179331598e+001,5.7928666668480304e+001,1.0126396976068065e+001,1.7931394853160445e+001,-2.2969592497709158e+001,1.7747244600497424e+001,-2.3296051704335866e+001,7.1284080963686325e-001,7.1041408405550022e-001,1.6384972303871805e+000,2.3489113144426810e+000,3.2951414715429492e+000,8.4440513347230038e-003,0.0000000000000000e+000,1.5069692422601179e+001,2.2303185852092099e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3765409404952544e+002,5.0169073580331474e+002,4.1755883561765529e+002,2.2351723574610153e+002,2.6468891350629571e+002,3.6906092374841631e+002
5.0000000000000007e+001,1.7346031768550603e+001,-2.3760586112467848e+001,5.6899009273437741e+001,6.8952879939511547e+001,5.6789525574419429e+001,2.2679059825596767e+001,5.6550582677077664e+001,1.3284952625080791e+001,1.7955169947921693e+001,-2.2927624067554262e+001,1.7773743093595705e+001,-2.3248922772581437e+001,6.9861391765261160e-001,6.7614659936606902e-001,1.6002196798024715e+000,2.2763662791685406e+000,3.2584038503230510e+000,8.5195825351202879e-003,0.0000000000000000e+000,1.4946816722624078e+001,2.1875710669104990e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3763873587038972e+002,5.0007643894468004e+002,4.2071262075537453e+002,2.3288420625197799e+002,2.7314364567075887e+002,3.7822394291931192e+002
