时间(s),吸气压力(bar),吸气温度(℃),排气压力(bar),排气温度(℃),气冷中间压力(bar),气冷中间温度(℃),气冷出口压力(bar),气冷出口温度(℃),蒸发器进口压力(bar),蒸发器进口温度(℃),蒸发器出口压力(bar),蒸发器出口温度(℃),压缩机功耗(kW),一级制热量(kW),二级制热量(kW),制热量(kW),COP,质量流量(kg/s),进风温度(℃),中间温度(℃),出风温度(℃),室内风量(kg/min),环境温度(℃),室外风量(m/s),吸气比焓(kJ/kg),排气比焓(kJ/kg),气冷中间比焓(kJ/kg),气冷出口比焓(kJ/kg),蒸发器进口比焓(kJ/kg),蒸发器出口比焓(kJ/kg)
0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,2.5799591958892398e+002,2.5799591958892398e+002,2.5799591958892398e+002,2.5799591958892398e+002,2.5799591958892398e+002,2.5799591958892398e+002
1.0000000000000002e+001,1.9749393888275570e+001,-1.5396272106538788e+001,5.9171148195362505e+001,7.1545851500305446e+001,5.9052947919773302e+001,2.1352294885926369e+001,5.8872365966410783e+001,9.6861129941562467e+000,2.0378369913553634e+001,-1.7552623699212376e+001,2.0227394010719564e+001,-1.9092488308026503e+001,7.1831841285403819e-001,1.2810487388254961e+000,1.3664874408537246e+000,2.6475361796792205e+000,3.6857417717582552e+000,9.4844771561008508e-003,0.0000000000000000e+000,1.0650795097832201e+001,1.8446960443771673e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4287691476090811e+002,5.0129743266270549e+002,3.6622949821136183e+002,2.2215329681793688e+002,4.3880954751697777e+002,4.2249846216588310e+002
1.0000000000000021e+001,1.9749393888275563e+001,-1.5396272106538845e+001,5.9171148195362527e+001,7.1545851500304423e+001,5.9052947919773324e+001,2.1352294885926369e+001,5.8872365966410790e+001,9.6861129941568720e+000,2.0378369913553627e+001,-1.7552623699211921e+001,2.0227394010719557e+001,-1.9092488308026503e+001,7.1831841285402098e-001,1.2810487388254808e+000,1.3664874408537357e+000,2.6475361796792165e+000,3.6857417717583378e+000,9.4844771561008526e-003,0.0000000000000000e+000,1.0650795097832315e+001,1.8446960443771559e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4287691476090811e+002,5.0129743266270407e+002,3.6622949821136206e+002,2.2215329681793594e+002,4.3880954751697777e+002,4.2249846216588395e+002
2.0000000000000004e+001,1.7933191896785498e+001,-2.2383314831907910e+001,6.1651855323023682e+001,7.4744591868958821e+001,6.1547322818739133e+001,2.3134559133950404e+001,6.1353260417861328e+001,6.3510392905145068e+000,1.8519117884304524e+001,-2.1943900953233793e+001,1.8355662852364777e+001,-2.2226730826220120e+001,7.4550119607541654e-001,9.6854706620469910e-001,1.5412932337648015e+000,2.5098402999695004e+000,3.3666482537951548e+000,8.6515136231947384e-003,0.0000000000000000e+000,1.3597470646959437e+001,2.2808364153196294e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3804399487373496e+002,5.0318087052539005e+002,3.9122970124005008e+002,2.1307668653143435e+002,2.8773059492866884e+002,3.8063439245719076e+002
2.0000000000000043e+001,1.7933191896785491e+001,-2.2383314831907768e+001,6.1651855323023668e+001,7.4744591868959446e+001,6.1547322818739119e+001,2.3134559133950404e+001,6.1353260417861321e+001,6.3510392905125741e+000,1.8519117884304524e+001,-2.1943900953233793e+001,1.8355662852364777e+001,-2.2226730826220120e+001,7.4550119554150485e-001,9.6854706551104297e-001,1.5412932326609701e+000,2.5098402981720129e+000,3.3666482537951619e+000,8.6515136169986826e-003,0.0000000000000000e+000,1.3597470646959437e+001,2.2808364153196294e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3804399487373496e+002,5.0318087052539028e+002,3.9122970124005036e+002,2.1307668653143296e+002,2.8773059492866855e+002,3.8063439245719070e+002
3.0000000000000004e+001,1.7395934680284306e+001,-2.3605948383062156e+001,6.0510839191619013e+001,7.4519098939708726e+001,6.0408961715549673e+001,2.3823483587505848e+001,6.0204223082507553e+001,6.6810314857661979e+000,1.7990655551270923e+001,-2.2865061469578478e+001,1.7809624929146022e+001,-2.3185188967107791e+001,7.3616784609229757e-001,7.7759486037996184e-001,1.6540687576461242e+000,2.4316636180260858e+000,3.3031374990550919e+000,8.3886436559983419e-003,0.0000000000000000e+000,1.4749224100732420e+001,2.2764871561180655e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3771864824665215e+002,5.0393102041187643e+002,4.1123488355500342e+002,2.1405536020460173e+002,2.6151690772593878e+002,3.6505880281564856e+002
3.0000000000000064e+001,1.7395934680284306e+001,-2.3605948383062156e+001,6.0510839191618992e+001,7.4519098939708329e+001,6.0408961715549665e+001,2.3823483587506075e+001,6.0204223082507539e+001,6.6810314857654589e+000,1.7990655551270923e+001,-2.2865061469578478e+001,1.7809624929146022e+001,-2.3185188967107791e+001,7.3616784554397430e-001,7.7759485980077880e-001,1.6540687564141421e+000,2.4316636162149208e+000,3.3031374990551221e+000,8.3886436497502184e-003,0.0000000000000000e+000,1.4749224100732476e+001,2.2764871561180712e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3771864824665215e+002,5.0393102041187620e+002,4.1123488355500393e+002,2.1405536020459985e+002,2.6151690772593872e+002,3.6505880281564856e+002
4.0000000000000007e+001,1.7313957460939033e+001,-2.3804385151691463e+001,5.8753226558995195e+001,7.2018196890817308e+001,5.8647870542925510e+001,2.3281698086519896e+001,5.8429404593565998e+001,8.9254313407492987e+000,1.7917978124096368e+001,-2.2993294366897999e+001,1.7732760353993982e+001,-2.3321834928070700e+001,7.1885962979778584e-001,7.2535759520672882e-001,1.6509826147706754e+000,2.3763402099774042e+000,3.3057082516177259e+000,8.4228363792761690e-003,0.0000000000000000e+000,1.4972232763090858e+001,2.2407770225985644e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3765601477029315e+002,5.0230314755340913e+002,4.1618517463499614e+002,2.2017250854156367e+002,2.6145820173105835e+002,3.6564433344439254e+002
4.0000000000000085e+001,1.7313957460939033e+001,-2.3804385151691463e+001,5.8753226558995181e+001,7.2018196890816967e+001,5.8647870542925489e+001,2.3281698086519668e+001,5.8429404593565970e+001,8.9254313407491281e+000,1.7917978124096368e+001,-2.2993294366897999e+001,1.7732760353993982e+001,-2.3321834928070700e+001,7.1885962979778562e-001,7.2535759520672671e-001,1.6509826147706494e+000,2.3763402099773763e+000,3.3057082516176881e+000,8.4228363792761673e-003,0.0000000000000000e+000,1.4972232763090858e+001,2.2407770225985644e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3765601477029315e+002,5.0230314755340913e+002,4.1618517463499637e+002,2.2017250854156694e+002,2.6145820173105835e+002,3.6564433344439254e+002
5.0000000000000007e+001,1.7328919349770342e+001,-2.3789106238174270e+001,5.7359735939606892e+001,6.9753225053539609e+001,5.7251049181819646e+001,2.2828086706763656e+001,5.7014074062130113e+001,1.2049620554671094e+001,1.7937235661704722e+001,-2.2959278299634775e+001,1.7754116097527035e+001,-2.3283825331387305e+001,7.0411576103933371e-001,6.8837205727823325e-001,1.6181195745437702e+000,2.3064916318220035e+000,3.2757278837466002e+000,8.4938160822215416e-003,0.0000000000000000e+000,1.4952196119079019e+001,2.2015842514034716e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3764160072635332e+002,5.0067540973180462e+002,4.1963150077325429e+002,2.2912589541517900e+002,2.6916678622686482e+002,3.7398387413059044e+002
