时间(s),吸气压力(bar),吸气温度(℃),排气压力(bar),排气温度(℃),气冷中间压力(bar),气冷中间温度(℃),气冷出口压力(bar),气冷出口温度(℃),蒸发器进口压力(bar),蒸发器进口温度(℃),蒸发器出口压力(bar),蒸发器出口温度(℃),压缩机功耗(kW),一级制热量(kW),二级制热量(kW),制热量(kW),COP,质量流量(kg/s),进风温度(℃),中间温度(℃),出风温度(℃),室内风量(kg/min),环境温度(℃),室外风量(m/s),吸气比焓(kJ/kg),排气比焓(kJ/kg),气冷中间比焓(kJ/kg),气冷出口比焓(kJ/kg),蒸发器进口比焓(kJ/kg),蒸发器出口比焓(kJ/kg)
0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,2.4720512353852408e+002,2.4720512353852408e+002,2.4720512353852408e+002,2.4720512353852408e+002,2.4720512353852408e+002,2.4720512353852408e+002
1.0000000000000002e+001,1.9972868310410327e+001,-1.6212429763312002e+001,6.3225898278602237e+001,7.5299014764321043e+001,6.3115504277030325e+001,2.4224458308763246e+001,6.2941085308409328e+001,8.7832639079690011e+000,2.0603445657065635e+001,-1.8488732532987228e+001,2.0441626101783896e+001,-1.8747536282189628e+001,7.5786617114873955e-001,1.6275386300060120e+000,1.0637515163576190e+000,2.6912901463636310e+000,3.5511416775395768e+000,9.4985712150805306e-003,0.0000000000000000e+000,8.2903177862472717e+000,1.9085185194933104e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4139293320007613e+002,5.0246522026993296e+002,3.3111959436968925e+002,2.1912890732101607e+002,4.2443122376137188e+002,4.0556964244310950e+002
1.0000000000000021e+001,1.9972868310410323e+001,-1.6212429763312684e+001,6.3225898278602259e+001,7.5299014764321100e+001,6.3115504277030354e+001,2.4224458308763246e+001,6.2941085308409349e+001,8.7832639079696264e+000,2.0603445657065635e+001,-1.8488732532987228e+001,2.0441626101783896e+001,-1.8747536282189628e+001,7.5786617114874333e-001,1.6275386300060044e+000,1.0637515163576343e+000,2.6912901463636389e+000,3.5511416775395697e+000,9.4985712150805340e-003,0.0000000000000000e+000,8.2903177862473285e+000,1.9085185194933160e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4139293320007562e+002,5.0246522026993273e+002,3.3111959436968988e+002,2.1912890732101513e+002,4.2443122376137194e+002,4.0556964244310853e+002
2.0000000000000004e+001,1.7909024878585406e+001,-2.2475595423011782e+001,6.4581214335864573e+001,7.9093908286271812e+001,6.4483286751802154e+001,2.5156302962651012e+001,6.4298649003049647e+001,4.9115429291830424e+000,1.8489433711535852e+001,-2.1995128262271805e+001,1.8320154810487349e+001,-2.2288415931943888e+001,7.7520722332515635e-001,1.1891856750420084e+000,1.3409476365693538e+000,2.5301333116113622e+000,3.2638154489307589e+000,8.5165549371335626e-003,0.0000000000000000e+000,1.1739974759038830e+001,2.3214721319733542e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3798256708758714e+002,5.0625255719705291e+002,3.6662031342945085e+002,2.0916842748873972e+002,2.7621860480628408e+002,3.6367065888496040e+002
2.0000000000000043e+001,1.7909024878585402e+001,-2.2475595423011384e+001,6.4581214335864559e+001,7.9093908286271187e+001,6.4483286751802154e+001,2.5156302962651012e+001,6.4298649003049647e+001,4.9115429291830424e+000,1.8489433711535849e+001,-2.1995128262271805e+001,1.8320154810487342e+001,-2.2288415931943888e+001,7.7520722273273479e-001,1.1891856741332192e+000,1.3409476355445884e+000,2.5301333096778076e+000,3.2638154489307589e+000,8.5165549306251212e-003,0.0000000000000000e+000,1.1739974759038830e+001,2.3214721319733542e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3798256708758714e+002,5.0625255719705291e+002,3.6662031342945096e+002,2.0916842748873972e+002,2.7621860480628391e+002,3.6367065888496035e+002
3.0000000000000004e+001,1.7389517209046623e+001,-2.3616381685115300e+001,6.1976068863099428e+001,7.6774225480735595e+001,6.1877172795828166e+001,2.3365739208121795e+001,6.1686961560916572e+001,4.5830225292276623e+000,1.7980761891464443e+001,-2.2882495035974387e+001,1.7797460631656342e+001,-2.3206784746393623e+001,7.5133165095479770e-001,9.4339377244189448e-001,1.5285447008493489e+000,2.4719384732912433e+000,3.2900763200244341e+000,8.3253950014354778e-003,0.0000000000000000e+000,1.3635616608948169e+001,2.3264864623497374e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3772002076123101e+002,5.0553951760818836e+002,3.9222432087827548e+002,2.0862405919870415e+002,2.5557041000476227e+002,3.5718411291956221e+002
3.0000000000000064e+001,1.7389517209046623e+001,-2.3616381685115300e+001,6.1976068863099407e+001,7.6774225480736163e+001,6.1877172795828159e+001,2.3365739208121795e+001,6.1686961560916551e+001,4.5830225292268665e+000,1.7980761891464443e+001,-2.2882495035974387e+001,1.7797460631656342e+001,-2.3206784746393623e+001,7.5133165095480547e-001,9.4339377244190481e-001,1.5285447008493569e+000,2.4719384732912619e+000,3.2900763200244247e+000,8.3253950014354726e-003,0.0000000000000000e+000,1.3635616608948169e+001,2.3264864623497374e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3772002076123101e+002,5.0553951760818910e+002,3.9222432087827491e+002,2.0862405919870250e+002,2.5557041000476221e+002,3.5718411291956221e+002
4.0000000000000007e+001,1.7291791522237144e+001,-2.3839897125240583e+001,6.0338620598172049e+001,7.4556683592991192e+001,6.0237501507569377e+001,2.3700703919920443e+001,6.0034142969442698e+001,6.1751169321641441e+000,1.7890843949274938e+001,-2.3041269518356359e+001,1.7703608821384304e+001,-2.3373774632855259e+001,7.3472737048569026e-001,7.7238933826697365e-001,1.6559608803399528e+000,2.4283502186069263e+000,3.3051037924470807e+000,8.3348342095996789e-003,0.0000000000000000e+000,1.4643914619868497e+001,2.2662641919504438e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3766150919557134e+002,5.0413705294138560e+002,4.1146702269922781e+002,2.1278750026401329e+002,2.5451940644384959e+002,3.5812460059471391e+002
4.0000000000000085e+001,1.7291791522237144e+001,-2.3839897125240583e+001,6.0338620598172028e+001,7.4556683592990112e+001,6.0237501507569370e+001,2.3700703919920443e+001,6.0034142969442684e+001,6.1751169321644852e+000,1.7890843949274938e+001,-2.3041269518356359e+001,1.7703608821384304e+001,-2.3373774632855259e+001,7.3472737048569015e-001,7.7238933826697365e-001,1.6559608803399781e+000,2.4283502186069517e+000,3.3051037924471158e+000,8.3348342095996789e-003,0.0000000000000000e+000,1.4643914619868440e+001,2.2662641919504381e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3766150919557134e+002,5.0413705294138560e+002,4.1146702269922781e+002,2.1278750026401028e+002,2.5451940644384959e+002,3.5812460059471391e+002
5.0000000000000007e+001,1.7288980824461877e+001,-2.3854537362337993e+001,5.8612187315983739e+001,7.1874064424668347e+001,5.8506570053530879e+001,2.3157153129853839e+001,5.8285670247764706e+001,8.7616427201417650e+000,1.7894235011435573e+001,-2.3035270947747961e+001,1.7707707173871022e+001,-2.3366468721850509e+001,7.1770792835860631e-001,7.2361787416930912e-001,1.6541175719041898e+000,2.3777354460734990e+000,3.3129569176020746e+000,8.4170212517645938e-003,0.0000000000000000e+000,1.4910075355963272e+001,2.2302012968072802e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3764972189070232e+002,5.0224758650008317e+002,4.1627680746496958e+002,2.1975626623936546e+002,2.5993793194254874e+002,3.6437231669955202e+002
