时间(s),吸气压力(bar),吸气温度(℃),排气压力(bar),排气温度(℃),气冷中间压力(bar),气冷中间温度(℃),气冷出口压力(bar),气冷出口温度(℃),蒸发器进口压力(bar),蒸发器进口温度(℃),蒸发器出口压力(bar),蒸发器出口温度(℃),压缩机功耗(kW),一级制热量(kW),二级制热量(kW),制热量(kW),COP,质量流量(kg/s),进风温度(℃),中间温度(℃),出风温度(℃),室内风量(kg/min),环境温度(℃),室外风量(m/s),吸气比焓(kJ/kg),排气比焓(kJ/kg),气冷中间比焓(kJ/kg),气冷出口比焓(kJ/kg),蒸发器进口比焓(kJ/kg),蒸发器出口比焓(kJ/kg)
0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.0234236530659194e+002,4.0234236530659194e+002,4.0234236530659194e+002,4.0234236530659194e+002,4.0234236530659194e+002,4.0234236530659194e+002
1.0000000000000002e+001,1.6824533824657458e+001,-8.4913654989941278e-001,4.8789056606541251e+001,8.7242515525334682e+001,4.8681908468562604e+001,1.6216712144118844e+001,4.8444361809694414e+001,1.3029693893795582e+001,1.7342266830338943e+001,-1.3030090416848907e+001,1.7225741375968806e+001,-1.9834918213121682e+001,6.1007285248047194e-001,7.3939116403247873e-001,1.1945927588352934e+000,1.9339839228677720e+000,3.1700868429146789e+000,7.3196645563833127e-003,0.0000000000000000e+000,1.0223946083554267e+001,1.5040177024637387e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.6445462163232276e+002,5.2902655705834786e+002,4.2801220614964774e+002,2.6480899517824929e+002,4.5030464686518684e+002,4.4264087221473454e+002
1.0000000000000021e+001,1.6824533824657454e+001,-8.4913654989941278e-001,4.8789056606541259e+001,8.7242515525333886e+001,4.8681908468562611e+001,1.6216712144118844e+001,4.8444361809694428e+001,1.3029693893795638e+001,1.7342266830338936e+001,-1.3030090416848623e+001,1.7225741375968806e+001,-1.9834918213121682e+001,6.1007285291118751e-001,7.3939116455449405e-001,1.1945927596786849e+000,1.9339839242331789e+000,3.1700868429146807e+000,7.3196645615510461e-003,0.0000000000000000e+000,1.0223946083554267e+001,1.5040177024637387e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.6445462163232276e+002,5.2902655705834786e+002,4.2801220614964774e+002,2.6480899517824918e+002,4.5030464686518684e+002,4.4264087221473454e+002
2.0000000000000004e+001,1.5841444677808482e+001,-1.7450617994474698e+001,5.0116517630687767e+001,7.5069974202786000e+001,5.0016925358089942e+001,1.8228461284681202e+001,4.9798772442604111e+001,1.4166285433813130e+001,1.6374592143717965e+001,-1.6753088962686661e+001,1.6233299967408442e+001,-2.0068285595722074e+001,6.3158841212162553e-001,6.2337137251247432e-001,1.2217572090473192e+000,1.8451285815597935e+000,2.9214098076335122e+000,7.3608564846817321e-003,0.0000000000000000e+000,1.1173797604997105e+001,1.7361889162618013e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4808882683071567e+002,5.1377206930311070e+002,4.2908472703394165e+002,2.6310442140105096e+002,4.4787335756172263e+002,4.4436623383245768e+002
2.0000000000000043e+001,1.5841444677808479e+001,-1.7450617994474158e+001,5.0116517630687767e+001,7.5069974202786000e+001,5.0016925358089942e+001,1.8228461284681600e+001,4.9798772442604111e+001,1.4166285433813130e+001,1.6374592143717958e+001,-1.6753088962686945e+001,1.6233299967408438e+001,-2.0068285595721818e+001,6.3158841212161843e-001,6.2337137251246932e-001,1.2217572090473239e+000,1.8451285815597931e+000,2.9214098076335446e+000,7.3608564846817321e-003,0.0000000000000000e+000,1.1173797604997105e+001,1.7361889162618013e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4808882683071641e+002,5.1377206930311070e+002,4.2908472703394233e+002,2.6310442140105101e+002,4.4787335756172240e+002,4.4436623383245768e+002
3.0000000000000004e+001,1.5258600017626515e+001,-2.5862385266188198e+001,5.0609450014991936e+001,6.7773570718071767e+001,5.0512388161130033e+001,1.8184448908438185e+001,5.0289827914937312e+001,1.4572554694722612e+001,1.5784944776648633e+001,-2.4069603621070542e+001,1.5642285433683565e+001,-2.0081945170895835e+001,6.3085107952455155e-001,5.6884376315214991e-001,1.1928771857006890e+000,1.7617209488528389e+000,2.7926098663104151e+000,7.3973966456222211e-003,0.0000000000000000e+000,1.1529542247737652e+001,1.7367842256707206e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3967440707609506e+002,5.0449990997928109e+002,4.2760207816046255e+002,2.6634572773796174e+002,4.4064535278097577e+002,4.4551241336967996e+002
3.0000000000000064e+001,1.5258600017626508e+001,-2.5862385266188483e+001,5.0609450014991936e+001,6.7773570718071767e+001,5.0512388161130033e+001,1.8184448908438185e+001,5.0289827914937312e+001,1.4572554694722612e+001,1.5784944776648629e+001,-2.4069603621070030e+001,1.5642285433683560e+001,-2.0081945170895011e+001,6.3085107952455155e-001,5.6884376315214991e-001,1.1928771857006890e+000,1.7617209488528389e+000,2.7926098663104151e+000,7.3973966456222211e-003,0.0000000000000000e+000,1.1529542247737652e+001,1.7367842256707206e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3967440707609506e+002,5.0449990997928109e+002,4.2760207816046255e+002,2.6634572773796174e+002,4.4064535278097554e+002,4.4551241336968002e+002
4.0000000000000007e+001,1.4905244383377482e+001,-2.8168703757655777e+001,5.0621028954815813e+001,6.6499880645045039e+001,5.0526392693496213e+001,1.7967044135617812e+001,5.0304933373491451e+001,1.4585003827155731e+001,1.5429057781356590e+001,-2.7636045630892312e+001,1.5281958825713074e+001,-2.0060957477332238e+001,6.2696162256375387e-001,5.5301678473041882e-001,1.1628518824840162e+000,1.7158686672144350e+000,2.7368001572376199e+000,7.2870883259526483e-003,0.0000000000000000e+000,1.1548983306258037e+001,1.7131583384483122e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3775488820126088e+002,5.0291691042478254e+002,4.2702695822523617e+002,2.6744993233101587e+002,4.1718583574575166e+002,4.4623358226811825e+002
4.0000000000000085e+001,1.4905244383377482e+001,-2.8168703757655777e+001,5.0621028954815813e+001,6.6499880645045039e+001,5.0526392693496213e+001,1.7967044135617812e+001,5.0304933373491451e+001,1.4585003827155731e+001,1.5429057781356590e+001,-2.7636045630892312e+001,1.5281958825713074e+001,-2.0060957477332238e+001,6.2696162256375387e-001,5.5301678473041882e-001,1.1628518824840157e+000,1.7158686672144345e+000,2.7368001572376195e+000,7.2870883259526483e-003,0.0000000000000000e+000,1.1548983306258037e+001,1.7131583384483122e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3775488820126088e+002,5.0291691042478254e+002,4.2702695822523617e+002,2.6744993233101593e+002,4.1718583574575132e+002,4.4623358226811825e+002
5.0000000000000007e+001,1.5039034262180119e+001,-2.8148502843796905e+001,5.0681607558006192e+001,6.5779036657573442e+001,5.0585494753274268e+001,1.7924028403928162e+001,5.0360672318505181e+001,1.4630916435914287e+001,1.5569308760618620e+001,-2.7360304706508572e+001,1.5420426638619608e+001,-2.0061798809535730e+001,6.2755412648759135e-001,5.5506250759535813e-001,1.1731069015707567e+000,1.7281694091661148e+000,2.7538172983399001e+000,7.3796343406988072e-003,0.0000000000000000e+000,1.1586549689193248e+001,1.7097935845072016e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3748216514397336e+002,5.0196572991843601e+002,4.2675028129733306e+002,2.6778483024496148e+002,3.9527373837046014e+002,4.4596554611493741e+002
