T_amb_set,mode,actual_charge,total_charge,P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_s1[kW],Q_s2[kW],Q_total[kW],COP,m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],acc_charge
45,1,192.19875,200,7.221944224526234,38.93160116403777,90.9738179418224,375.5417777672285,9.276474591650674,27.96812741378602,11.72414621641762,-35.69970247059078,90.91834499040812,46.01913060574367,90.9721999654979,375.5407514284357,2.560156617395814,2.631969147285229,1.027010926235371,3.6589800735206,1.429201654562254,0.008198521733011,35,29.00385754977901,28.80333421727198,9,45,3.0,513.3109466726492,822.4587581636582,501.429036831374,376.1612190856281,393.1851105366493,822.4579815085181,7.80125
45,1,222.2222,250,22.22392867511842,33.28884244574004,91.6601868620468,194.3081563600398,27.89847529491358,19.79848899441669,34.2882243096898,-0.5682501459366449,91.21112365319192,50.35834406858015,91.65029727400488,194.3057293493648,3.965757654829303,4.551312580024256,2.347113662824434,6.898426242848688,1.73949768071383,0.0289642286109248,35,21.79773246454999,20.96191656017436,9,45,3.0,493.439984167916,628.9899458472046,471.8543065328684,390.8193963906683,412.8595133978137,628.990912150224,27.7778
45,1,255.9994,300,30.27881571413389,28.3858556896268,92.6976650117898,146.3012023386577,38.74801089726646,15.52793382140891,47.67034982975157,12.36929266529529,91.75231687036003,53.53296927714428,92.67902439301592,146.2940186411355,4.307165168426528,5.626310666298753,2.494486650187977,8.12079731648673,1.885415812705733,0.0457608164922381,35,19.91575146580885,17.71424684348159,9,45,3.0,478.8417793379887,572.0239785119376,449.0735790746139,394.5621686278382,422.9302430096511,572.0246821694234,44.0006
45,1,291.3074,350,35.71409427070373,25.27199175291054,94.45646506272318,122.6913395228249,46.38258719979312,15.39275663795729,57.30876214789121,20.06928622718056,93.02752934401336,55.57043251254476,94.4298789454728,122.6792818889399,4.445908214590527,6.525632624332792,2.303042905431824,8.828675529764617,1.985797975043834,0.0598519011948456,35,22.05786956233243,18.32569969004732,9,45,3.0,467.800113055843,541.3391159041546,432.3094527847019,393.8304260628213,426.6696687131919,541.3397690076772,58.6926
45,1,324.4214,400,39.48781828970704,22.88865120159204,96.7878071909032,109.4231299030564,51.78180940378284,16.13639511246788,64.21664109336919,24.97600102164437,94.95263339422004,56.90997238515388,96.75478148442204,109.4068844967411,4.54601018153402,7.414037693376708,2.033036483858316,9.447074177235024,2.078102291897458,0.0713245203359625,35,24.60522688699132,19.48899179351349,9,45,3.0,458.8380677812272,521.9376870779231,417.9897368014391,389.485703766488,426.8357455349372,521.938338090356,75.5786
45,1,332.233,450,39.77522216400338,22.6119770622667,97.3013051457715,108.7115890722881,52.16801858890067,16.09897823715642,64.68440929513949,25.29186599815938,95.4397442580632,57.08594542650336,97.26786314921976,108.6953174375584,4.568313858231365,7.544527519805428,2.018198722152082,9.562726241957508,2.093272603134966,0.0722394277931423,35,24.81436573869314,19.48549463321644,9,45,3.0,457.9712837670245,520.5774097817489,416.1396013676349,388.2019669786805,426.3859450662746,520.5783806799226,117.767
45,1,332.012,500,39.71413603022229,22.63198019223876,97.35904569551764,108.9980830217675,52.06956116796034,16.02001898126753,64.5468801191207,25.19920722651636,95.50731048957576,57.09331293198358,97.32575574539295,108.9819341274861,4.571342124222009,7.542363353752928,2.028697740470403,9.571061094223332,2.093709207085921,0.0720197934502101,35,24.75125215154412,19.41446373400856,9,45,3.0,458.0998204788656,520.9384997665051,416.2122433802349,388.0436296799899,426.2706261158739,520.93948991897,167.988
45,1,331.786,550,39.65025531412542,22.65307231768612,97.42049665402544,109.2996485052103,51.9666073652376,15.93733004402105,64.40300796729731,25.10208857760006,95.5790212165233,57.10109969342011,97.38736553716544,109.2836281987381,4.574531249728738,7.540123304078642,2.039726875839861,9.5798501799185,2.094170890293201,0.0717903542508065,35,24.68520250721235,19.33993875284113,9,45,3.0,458.2342388274276,521.3177266370809,416.2879718355307,387.8757025672405,426.1480372468474,521.3187375190108,218.214
45,1,331.551,600,39.58211180813098,22.67576670888889,97.48726508989228,109.6235677809439,51.85679151318982,15.84899125207892,64.24947918286487,24.99824098852229,95.65671656604546,57.10950033123402,97.45430321379062,109.6076848188039,4.577958419663394,7.537763739745771,2.051544620980327,9.589308360726095,2.09466916945724,0.0715458783962679,35,24.61468167137849,19.26017432505898,9,45,3.0,458.3776267690279,521.7240967133145,416.3684297104341,387.6938971312472,426.014995591872,521.7251302590673,268.449
45,1,331.37,650,39.52870438787159,22.69357117898528,97.54008627167757,109.8784356918175,51.77077751556953,15.77969816921927,64.1292241887365,24.91674810095373,95.71807544823504,57.11603941791464,97.50725670285613,109.8626604154365,4.580644579711208,7.535886424983556,2.060831584943946,9.596718009927502,2.095058423094799,0.0713546541170164,35,24.55940711967753,19.19758088092522,9,45,3.0,458.4898288454877,522.0433305761146,416.4316291638249,387.5500991438722,425.9095485895047,522.0443824176223,318.63
45,1,331.328,700,39.51711408558696,22.69710627441856,97.55052494737096,109.9321582350349,51.7522500825141,15.76476083812247,64.10344430770404,24.89926051789394,95.73032688616152,57.11713996721874,97.51772351658006,109.916405684382,4.581177851366904,7.535335867041798,2.062817792212225,9.598153659254026,2.095127927938921,0.0713137061969927,35,24.5475401699851,19.18428343420163,9,45,3.0,458.513678541475,522.1110753774353,416.4464525596753,387.5204872408344,425.8878420666485,522.1121310333857,368.672
45,1,346.962,750,34.37357819239708,25.25742667834976,110.7059818030055,146.7692351319309,43.3280893035973,8.506654463503537,51.97154226851411,15.94129645617045,109.6914720867457,58.82771078353068,110.6859814940115,146.7613325821267,5.02386836833512,7.653313120743235,3.224652324328445,10.87796544507168,2.165256859362454,0.0530342014568314,35,18.84441439007406,13.05498747201034,9,45,3.0,469.6642317998034,563.4457831011873,419.136772867992,358.3335131648506,401.8181949216046,563.4457831011877,403.038
45,1,390.523,800,33.17874318742409,25.78075140152845,124.622748418034,166.4170813322701,40.36124769987725,5.697597947519057,47.0641734917127,11.84640489261369,123.9371502088572,59.568925691186,124.6085221431685,166.4109370585608,5.010382870495415,7.35455804147974,3.909644915852073,11.26420295733182,2.24817209552252,0.0450430752111065,35,16.70509738700474,10.72754539223433,9,45,3.0,471.9565979857976,582.0796084273087,418.8012796939659,332.0033668621162,376.2885705010301,582.0780007562639,409.477
45,1,456.093,850,42.75249294062893,27.58404483969264,120.2116951766553,122.2090627766435,45.40273328697862,10.38674176284894,48.12049938189745,12.75434790250136,119.9470354942428,52.50134429126592,120.2062988476003,122.2067219638022,2.171859512473632,3.279817098373777,2.974290777643268,6.254107876017045,2.879609772224149,0.0290541822797825,35,18.52717690443973,14.0677517201961,9,45,3.0,460.5125471022251,524.5248596772204,411.6386298466861,309.2681432502372,349.2786303595371,524.5248596772199,393.907
45,1,504.475,900,42.40678961387945,24.70927473880545,134.7553827028657,130.7860377790568,44.71545606276585,9.771178186187852,47.01509705354289,11.80384981730515,134.546962527322,51.91265110193775,134.7510319850447,130.7843290764588,2.304679085342879,3.308536364166748,3.106176385342636,6.414712749509384,2.783343151897018,0.0270026057172942,35,18.16620829931929,13.52368268679669,9,45,3.0,456.7717893356794,528.3260588335128,405.7994997745199,290.7670315059764,330.0290066074074,528.3260588335128,395.525
